7;1;0.25236912506812104;0.3448169231414795;
15;1;0.0633359350866769;2.9087066650390625e-5;
31;1;0.015849251496881323;8.606910705566406e-5;
63;1;0.0039632677233996105;0.00011110305786132812;
127;1;0.0009908766149848702;0.00039005279541015625;
255;1;0.00024772289713581586;0.0016689300537109375;
511;1;6.19309192799733e-5;0.00698399543762207;
1023;1;1.548283568553188e-5;0.10836005210876465;
2047;1;3.872374236379983e-6;0.25929808616638184;
4095;1;9.79092241948365e-7;0.6601579189300537;
8191;1;2.9148104729870283e-7;1.9527969360351562;
