2047;9.20808482170105;10;rek;200;
2047;9.589761972427368;10;itv;200;
2047;9.237928867340088;10;rek;400;
2047;9.169295072555542;10;itv;400;
2047;8.354182004928589;9;rek;600;
2047;8.33433985710144;9;itv;600;
2047;7.3009538650512695;8;rek;800;
2047;7.343894004821777;8;itv;800;
2047;5.523823976516724;6;rek;1000;
2047;5.573935031890869;6;itv;1000;
2047;6.444854021072388;7;rek;1200;
2047;6.537292957305908;7;itv;1200;
2047;5.537189960479736;6;rek;1400;
2047;5.711419105529785;6;itv;1400;
2047;7.289139986038208;8;rek;1600;
2047;7.470879077911377;8;itv;1600;
2047;8.351312160491943;9;rek;1800;
2047;8.532557010650635;9;itv;1800;
2047;7.418880939483643;8;rek;2000;
2047;7.539869070053101;8;itv;2000;
