10;4;15;0.001337738037109375;8.918253580729167e-5;OJC
20;8;16;0.0015238285064697265;9.52392816543579e-5;OJC
40;16;18;0.0018086433410644531;0.00010048018561469184;OJC
80;32;20;0.0023775672912597656;0.00011887836456298827;OJC
160;64;22;0.0031280231475830076;0.00014218287034468218;OJC
320;128;24;0.004656581878662109;0.00019402424494425455;OJC
640;256;26;0.006678524017333984;0.0002568663083589994;OJC
1280;512;28;0.011524696350097657;0.00041159629821777347;OJC
2560;1024;30;0.021562204360961915;0.0007187401453653972;OJC
5120;2048;32;0.04317660331726074;0.001349268853664398;OJC
10240;4096;35;0.09378975868225098;0.0026797073909214566;OJC
20480;8192;37;0.2001374340057373;0.0054091198379929;OJC
40960;16384;39;0.4250031852722168;0.010897517571082482;OJC
81920;32768;41;0.9055876922607422;0.022087504689286396;OJC
163840;65536;44;2.1632585620880125;0.0491649673201821;OJC
