10;4;15;0.00016277313232421876;1.0851542154947918e-5;OJC
20;8;16;0.00022577285766601563;1.4110803604125977e-5;OJC
40;16;18;0.00034297943115234374;1.9054412841796875e-5;OJC
80;32;20;0.0007645988464355469;3.822994232177735e-5;OJC
160;64;22;0.0010889339447021484;4.949699748646129e-5;OJC
320;128;24;0.0019138908386230468;7.974545160929361e-5;OJC
640;256;26;0.0035727977752685546;0.00013741529904879056;OJC
1280;512;28;0.006231536865234375;0.00022255488804408483;OJC
2560;1024;30;0.0109185791015625;0.00036395263671874995;OJC
5120;2048;32;0.021345958709716797;0.0006670612096786499;OJC
10240;4096;35;0.046134815216064454;0.0013181375776018416;OJC
