10;4;123;0.00045203208923339845;3.6750576360438897e-6;OJC
20;8;101;0.0006333732604980469;6.271022381168781e-6;OJC
40;16;85;0.0006980609893798828;8.212482227998622e-6;OJC
80;32;73;0.0009400844573974609;1.2877869279417273e-5;OJC
160;64;64;0.0014876365661621095;2.324432134628296e-5;OJC
320;128;57;0.0022675609588623047;3.978177120811061e-5;OJC
640;256;52;0.0036592769622802736;7.037071081308219e-5;OJC
1280;512;47;0.005102558135986328;0.00010856506672311336;OJC
2560;1024;43;0.007393941879272461;0.00017195213672726654;OJC
5120;2048;40;0.012383251190185547;0.0003095812797546387;OJC
10240;4096;37;0.024680118560791015;0.0006670302313727301;OJC
20480;8192;34;0.04542738914489746;0.0013360996807322782;OJC
40960;16384;32;0.0958516788482666;0.0029953649640083314;OJC
81920;32768;30;0.16188149452209472;0.005396049817403157;OJC
163840;65536;29;0.32174166679382327;0.011094540234269768;OJC
