10;4;15;0.000836620330811;5.57746887207e-05;OJC
20;8;16;0.00113758087158;7.10988044739e-05;OJC
40;16;18;0.00116232872009;6.45738177829e-05;OJC
80;32;20;0.00135479927063;6.77399635315e-05;OJC
160;64;22;0.00184038162231;8.36537101052e-05;OJC
320;128;24;0.0026850605011;0.000111877520879;OJC
640;256;26;0.00536524772644;0.000206355681786;OJC
1280;512;28;0.010118894577;0.000361389092037;OJC
2560;1024;30;0.0134888935089;0.00044962978363;OJC
5120;2048;32;0.0350859451294;0.00109643578529;OJC
10240;4096;35;0.0753831100464;0.00215380314418;OJC
