10;4;15;4.6539306640625e-6;3.102620442708333e-7;OJC
20;8;16;8.43048095703125e-6;5.269050598144531e-7;OJC
40;16;18;1.70135498046875e-5;9.451972113715277e-7;OJC
80;32;20;3.458976745605469e-5;1.7294883728027345e-6;OJC
160;64;22;7.580757141113281e-5;3.4457987005060366e-6;OJC
320;128;24;0.000203094482421875;8.462270100911458e-6;OJC
640;256;26;0.0002912712097167969;1.120273883526142e-5;OJC
1280;512;28;0.0006448554992675781;2.3030553545270647e-5;OJC
2560;1024;30;0.0013523292541503906;4.507764180501302e-5;OJC
5120;2048;32;0.0028816986083984373;9.005308151245117e-5;OJC
10240;4096;35;0.006387920379638672;0.0001825120108468192;OJC
