10;4;15;0.0003936767578125;2.62451171875e-5;OJC
20;8;16;0.00023552894592285156;1.4720559120178223e-5;OJC
40;16;18;0.000602560043334961;3.3475557963053385e-5;OJC
80;32;20;0.0006143760681152344;3.071880340576172e-5;OJC
160;64;22;0.0013968467712402344;6.349303505637429e-5;OJC
320;128;24;0.002168245315551758;9.034355481465658e-5;OJC
640;256;26;0.004487504959106445;0.0001725963445810171;OJC
1280;512;28;0.009125709533691406;0.00032591819763183594;OJC
2560;1024;30;0.019250459671020508;0.000641681989034017;OJC
5120;2048;32;0.040750675201416016;0.0012734586000442505;OJC
10240;4096;35;0.08992535591125489;0.0025692958831787112;OJC
20480;8192;37;0.2003867244720459;0.005415857418163403;OJC
40960;16384;39;0.43153958320617675;0.011065117518107096;OJC
81920;32768;41;0.924713773727417;0.02255399448115651;OJC
163840;65536;44;2.1387983417510985;0.04860905322161588;OJC
