10;4;29;6.625175476074219e-5;2.2845432676117994e-6;SOR
20;8;39;0.00011714935302734375;3.003829564803686e-6;SOR
40;16;61;0.0003210926055908203;5.26381320640689e-6;SOR
80;32;120;0.0008373069763183594;6.9775581359863286e-6;SOR
160;64;233;0.002689075469970703;1.1541096437642502e-5;SOR
320;128;456;0.008381280899047851;1.8380001971596165e-5;SOR
640;256;901;0.026071786880493164;2.8936500422300957e-5;SOR
1280;512;1789;0.10116157531738282;5.654643673414356e-5;SOR
2560;1024;3560;0.39921035766601565;0.00011213774091742012;SOR
5120;2048;7096;1.5874366664886475;0.00022370866213199654;SOR
10240;4096;14162;6.326017074584961;0.0004466895265206158;SOR
