31;0.0008052444458007813;6;rek;
31;0.0006899452209472657;6;itv;
63;0.0029663944244384764;7;rek;
63;0.0027155208587646483;7;itv;
127;0.013108587265014649;8;rek;
127;0.012373046875;8;itv;
255;0.06229933738708496;9;rek;
255;0.06284570693969727;9;itv;
511;0.3331463623046875;10;rek;
511;0.32952343940734863;10;itv;
1023;2.430533447265625;11;rek;
1023;2.370468635559082;11;itv;
2047;10.777328081130982;11;rek;
2047;10.73187195777893;11;itv;
4095;41.89851667404175;12;rek;
4095;41.931762342453005;12;itv;
8191;173.38386171340943;13;rek;
8191;175.12722566604614;13;itv;
