31;0.006048755645751953;6;rek;
31;0.002674417495727539;6;itv;
63;0.002515592575073242;7;rek;
63;0.002522592544555664;7;itv;
127;0.011064119338989258;8;rek;
127;0.011107072830200196;8;itv;
255;0.05473455429077148;9;rek;
255;0.056081933975219725;9;itv;
511;0.2894016170501709;10;rek;
511;0.2929134941101074;10;itv;
1023;2.15856201171875;11;rek;
1023;2.0485299587249757;11;itv;
2047;10.227711563110352;11;rek;
2047;9.788431234359741;11;itv;
4095;38.552835302352904;12;rek;
4095;37.79883339881897;12;itv;
8191;193.95683439254762;13;rek;
8191;178.5063805770874;13;itv;
