10;4;15;0.0002812862396240234;1.8752415974934896e-5;OJC
20;8;16;5.53131103515625e-5;3.4570693969726562e-6;OJC
40;16;18;6.954193115234375e-5;3.863440619574653e-6;OJC
80;32;20;0.00012612342834472656;6.306171417236328e-6;OJC
160;64;22;0.0003316688537597656;1.5075856989080254e-5;OJC
320;128;24;0.0003582572937011719;1.492738723754883e-5;OJC
640;256;26;0.000645599365234375;2.483074481670673e-5;OJC
1280;512;28;0.001316080093383789;4.700286047799246e-5;OJC
2560;1024;30;0.0029047107696533203;9.682369232177734e-5;OJC
5120;2048;32;0.006837491989135742;0.00021367162466049195;OJC
10240;4096;35;0.012926902770996094;0.000369340079171317;OJC
