31;0.001007843017578125;6;rek;
31;0.0010382175445556641;6;itv;
63;0.004206991195678711;7;rek;
63;0.002862215042114258;7;itv;
127;0.012599611282348632;8;rek;
127;0.0161466121673584;8;itv;
255;0.0688894271850586;9;rek;
255;0.0625380516052246;9;itv;
511;0.36458559036254884;10;rek;
511;0.3737974166870117;10;itv;
1023;2.4503203868865966;11;rek;
1023;2.4278676509857178;11;itv;
2047;10.866919946670532;11;rek;
2047;10.794793081283569;11;itv;
4095;41.33766317367554;12;rek;
4095;42.075742626190184;12;itv;
