10.0; 100; 0.1; OJC; 283; 0.00253814697265625; 0.0007169374992326662; 0.9996775215279919
10.0; 100; 0.01; OJC; 354; 0.0026735877990722657; 7.127053485085791e-5; 0.9996775215279919
10.0; 100; 0.001; OJC; 425; 0.0031916618347167967; 7.08498180575559e-6; 0.9996775215279919
10.0; 100; 0.0001; OJC; 496; 0.004701414108276367; 7.043158479577973e-7; 0.9996775215279919
10.0; 100; 1.0e-5; OJC; 566; 0.004167633056640625; 7.232974004343833e-8; 0.9996775215279919
10.0; 100; 1.0000000000000002e-6; OJC; 637; 0.004705629348754883; 7.1902770660437205e-9; 0.9996775215279919
10.0; 100; 1.0000000000000002e-7; OJC; 708; 0.005252170562744141; 7.147832171861158e-10; 0.9996775215279919
10.0; 100; 1.0000000000000002e-8; OJC; 779; 0.005747385025024414; 7.105637834071329e-11; 0.9996775215279919
10.0; 100; 1.0000000000000003e-9; OJC; 850; 0.006248674392700195; 7.063692583449052e-12; 0.9996775215279919
20.0; 200; 0.1; OJC; 323; 0.004922695159912109; 0.0002478653307138491; 0.9999185712937686
20.0; 200; 0.01; OJC; 393; 0.006167831420898437; 2.487846055798485e-5; 0.9999185712937686
20.0; 200; 0.001; OJC; 463; 0.00685007095336914; 2.4970728982253166e-6; 0.9999185712937686
20.0; 200; 0.0001; OJC; 533; 0.007851858139038086; 2.5063339608648386e-7; 0.9999185712937686
20.0; 200; 1.0e-5; OJC; 603; 0.008732986450195313; 2.515629370631864e-8; 0.9999185712937686
20.0; 200; 1.0000000000000002e-6; OJC; 673; 0.009757366180419922; 2.5249592549121448e-9; 0.9999185712937686
20.0; 200; 1.0000000000000002e-7; OJC; 743; 0.010793437957763672; 2.534323741584829e-10; 0.9999185712937686
20.0; 200; 1.0000000000000002e-8; OJC; 813; 0.01172016143798828; 2.5437229608365034e-11; 0.9999185712937686
20.0; 200; 1.0000000000000003e-9; OJC; 883; 0.012626857757568359; 2.553157205049777e-12; 0.9999185712937686
40.0; 400; 0.1; OJC; 363; 0.009458961486816407; 8.863588764603802e-5; 0.9999795408529385
40.0; 400; 0.01; OJC; 433; 0.011246757507324219; 8.79407070020089e-6; 0.9999795408529385
40.0; 400; 0.001; OJC; 502; 0.012947216033935546; 9.017888758471107e-7; 0.9999795408529385
40.0; 400; 0.0001; OJC; 572; 0.014882268905639649; 8.947160502892153e-8; 0.9999795408529385
40.0; 400; 1.0e-5; OJC; 642; 0.016953783035278322; 8.876986976504957e-9; 0.9999795408529385
40.0; 400; 1.0000000000000002e-6; OJC; 712; 0.018095912933349608; 8.807363828562907e-10; 0.9999795408529385
40.0; 400; 1.0000000000000002e-7; OJC; 781; 0.020382270812988282; 9.031520215526704e-11; 0.9999795408529385
40.0; 400; 1.0000000000000002e-8; OJC; 851; 0.022155933380126953; 8.960685533378528e-12; 0.9999795408529385
40.0; 400; 1.0000000000000003e-9; OJC; 921; 0.025773887634277345; 8.89045314222354e-13; 0.9999795408529385
80.0; 800; 0.1; OJC; 404; 0.019945106506347655; 3.130015072906058e-5; 0.9999948724146058
80.0; 800; 0.01; OJC; 473; 0.023197832107543944; 3.1913136510056827e-6; 0.9999948724146058
80.0; 800; 0.001; OJC; 543; 0.02649282455444336; 3.1479068357071255e-7; 0.9999948724146058
80.0; 800; 0.0001; OJC; 613; 0.02947437286376953; 3.1050904204195404e-8; 0.9999948724146058
80.0; 800; 1.0e-5; OJC; 682; 0.033180103302001954; 3.1659008712408565e-9; 0.9999948724146058
80.0; 800; 1.0000000000000002e-6; OJC; 752; 0.036203527450561525; 3.1228397097143883e-10; 0.9999948724146058
80.0; 800; 1.0000000000000002e-7; OJC; 821; 0.039426259994506836; 3.18399781513803e-11; 0.9999948724146058
80.0; 800; 1.0000000000000002e-8; OJC; 891; 0.043641090393066406; 3.140695297571028e-12; 0.9999948724146058
80.0; 800; 1.0000000000000003e-9; OJC; 961; 0.04639967918395996; 3.098433457080184e-13; 0.9999948724146058
160.0; 1600; 0.1; OJC; 445; 0.044409809112548826; 1.1185869583908213e-5; 0.9999987165005483
160.0; 1600; 0.01; OJC; 515; 0.050431680679321286; 1.100156708233436e-6; 0.9999987165005483
160.0; 1600; 0.001; OJC; 584; 0.0587308406829834; 1.1184797855786656e-7; 0.9999987165005483
160.0; 1600; 0.0001; OJC; 654; 0.06233879089355469; 1.100051301357562e-8; 0.9999987165005483
160.0; 1600; 1.0e-5; OJC; 723; 0.06870659828186035; 1.118372634350097e-9; 0.9999987165005483
160.0; 1600; 1.0000000000000002e-6; OJC; 793; 0.07790128707885742; 1.0999470185687196e-10; 0.9999987165005483
160.0; 1600; 1.0000000000000002e-7; OJC; 862; 0.08210402488708496; 1.1183716605648977e-11; 0.9999987165005483
160.0; 1600; 1.0000000000000002e-8; OJC; 932; 0.09025558471679687; 1.1102508542449697e-12; 0.9999987165005483
160.0; 1600; 1.0000000000000003e-9; OJC; 1002; 0.09679989814758301; 1.8437292190397795e-13; 0.9999987165005483
