2; 0.0001; GS; 9; 0.000783796310425; 7.37081643149e-06; 0.25
2; 0.0001; SOR; 6; 0.000415945053101; 4.65518515727e-06; 0.0717967717233
2; 0.0001; JC; 17; 0.000946645736694; 7.37081643149e-06; 0.5
2; 0.0001; OJC; 28; 0.00148358345032; 1.06178255633e-05; 0.666666666667
4; 0.0001; GS; 29; 0.00183131217957; 6.09985127294e-06; 0.654508497187
4; 0.0001; SOR; 12; 0.000727853775024; 3.21758600008e-06; 0.259616190748
4; 0.0001; JC; 56; 0.00291069984436; 7.65808902293e-06; 0.809016994375
4; 0.0001; OJC; 85; 0.00439394950867; 9.99697649488e-06; 0.87267799625
8; 0.0001; GS; 92; 0.00494553565979; 8.83624482609e-06; 0.883022221559
8; 0.0001; SOR; 21; 0.00121214866638; 2.69110689843e-06; 0.490290596566
8; 0.0001; JC; 204; 0.0106588554382; 3.00056999363e-06; 0.939692620786
8; 0.0001; OJC; 278; 0.0139826583862; 1.00202927536e-05; 0.959795080524
16; 0.0001; GS; 327; 0.0172865200043; 9.82580605924e-06; 0.966236114702
16; 0.0001; SOR; 47; 0.00258647918701; 7.67438266931e-07; 0.689546625982
16; 0.0001; JC; 807; 0.0440983009338; 8.08419856543e-07; 0.982973099684
16; 0.0001; OJC; 984; 0.0525723075867; 1.00556488675e-05; 0.988648733123
32; 0.0001; GS; 1233; 0.0671146011353; 1.00509243847e-05; 0.990964348631
32; 0.0001; SOR; 98; 0.00661408424377; 3.31175538263e-07; 0.82639054589
32; 0.0001; JC; 3146; 0.164436016083; 4.82890246067e-07; 0.995471922573
32; 0.0001; OJC; 3701; 0.193341379166; 1.01166253691e-05; 0.996981281715
64; 0.0001; GS; 4743; 0.272594041824; 1.00986178013e-05; 0.997665817359
64; 0.0001; SOR; 194; 0.0111516666412; 3.04497138808e-07; 0.907826462099
64; 0.0001; JC; 13909; 0.755023326874; 6.36704108745e-08; 0.998832226832
64; 0.0001; OJC; 14234; 0.776300849915; 1.01289408612e-05; 0.999221484555
128; 0.0001; GS; 18653; 1.21467564583; 1.01229671041e-05; 0.99940702762
128; 0.0001; SOR; 412; 0.0269538879395; 9.09272127174e-08; 0.952455703905
128; 0.0001; JC; 57609; 3.59872530937; 2.60750540611e-08; 0.999703469845
128; 0.0001; OJC; 55960; 3.46776186943; 1.01323370079e-05; 0.99980231323
