500;50.0;139;1.3886668682098389;0.009990409123811791;RBGS;
500;50.0;306;2.3811659812927246;0.007781588174159231;NGS;
500;50.0;411;3.876723051071167;0.009432416182654908;OJC;
500;100.0;37;0.32679295539855957;0.008832242037798907;RBGS;
500;100.0;130;1.0091907978057861;0.007763006136967586;NGS;
500;100.0;107;1.0579001903533936;0.009886917666854145;OJC;
500;150.0;16;0.13719415664672852;0.008574634790420532;RBGS;
500;150.0;80;0.6875460147857666;0.008594325184822083;NGS;
500;150.0;48;0.5245301723480225;0.010927711923917135;OJC;
500;200.0;8;0.11595487594604492;0.014494359493255615;RBGS;
500;200.0;56;0.42948198318481445;0.007669321128300258;NGS;
500;200.0;26;0.24335980415344238;0.009359992467440091;OJC;
500;250.0;2;0.02455306053161621;0.012276530265808105;RBGS;
500;250.0;42;0.3272969722747803;0.007792785054161435;NGS;
500;250.0;15;0.15230798721313477;0.010153865814208985;OJC;
500;300.0;8;0.06714797019958496;0.00839349627494812;RBGS;
500;300.0;33;0.24413204193115234;0.007397940664580374;NGS;
500;300.0;9;0.0907590389251709;0.010084337658352323;OJC;
500;350.0;16;0.12549591064453125;0.007843494415283203;RBGS;
500;350.0;26;0.2374269962310791;0.009131807547349196;NGS;
500;350.0;6;0.06326699256896973;0.010544498761494955;OJC;
500;400.0;36;0.2794911861419678;0.0077636440594991045;RBGS;
500;400.0;20;0.16757988929748535;0.008378994464874268;NGS;
500;400.0;11;0.11542510986328125;0.01049319180575284;OJC;
500;450.0;134;1.0367209911346436;0.007736723814437639;RBGS;
500;450.0;16;0.12961483001708984;0.008100926876068115;NGS;
500;450.0;14;0.13906097412109375;0.009932926722935267;OJC;
